,DRUG,DIAG
1520734,L01A,2041
1520735,L01A,2010
1520736,L01A,2000
1520737,L01A,2021
1520738,L01A,2384
1520739,L01A,51181
1520745,N05C,78052
1520747,D08A,4251
1520748,J05A,042
1520749,C03C,7895
1520750,C03C,7469
1520751,C03C,7823
1520752,C03C,581
1520755,S01E,36504
1520756,S01E,37731
1520757,N03A,7803
1520758,C01B,42732
1520759,C01B,0840
1520761,N03A,7803
1520763,P01A,0069
1520765,P01A,0071
1520767,P01A,0999
1520768,P01A,1319
1520770,N04B,4370
1520771,N04B,392
1520774,N04B,487
1520775,N04B,3320
1520778,N04B,33394
1520780,J01X,6953
1520781,J01X,0069
1520783,J01X,7907
1520787,J01X,0070
1520791,J01X,0052
1520792,J01X,510
1520794,J01X,0071
1520797,J01X,5130
1520798,J01X,3229
1520802,J01X,56971
1520804,J01X,037
1520807,J01X,5720
1520810,N02C,346
1520812,N02A,3055
1520813,M03B,72885
1520816,C04A,78820
1520818,A02B,532
1520820,A02B,7871
1520823,A02B,533
1520825,L01B,2050
1520827,L01B,23875
1520830,G02A,531
1520832,G02A,632
1520833,G02A,666
1520837,J05A,042
1520838,N06A,79921
1520840,N06A,3004
1520842,N06A,29680
1520845,S01B,7020
1520847,S01B,0780
1520849,S01B,7063
1520850,R03A,4939
1520852,R03A,49381
1520853,M01A,27400
1520854,M01A,7200
1520855,M01A,78060
1520858,M01A,7159
1520859,M01A,6253
1520860,M01A,7140
1520862,N02B,79921
1520863,N02B,7149
1520869,N02B,78060
1520870,N02B,7840
1520873,N02B,346
1520874,N02B,4461
1520877,N02B,338
1520879,N02B,2384
1520881,N02B,7140
1520884,N02B,7100
1520885,N02B,30781
1520886,N02B,4539
1520887,N02B,435
1520889,N03A,3452
1520890,R06A,477
1520892,R06A,4770
1520893,J04A,010
1520896,N02C,3460
1520897,N02C,3460
1520898,R05D,7862
1520899,R05D,3381
1520909,H02A,6953
1520910,H02A,27400
1520913,H02A,3700
1520914,H02A,70401
1520915,H02A,7200
1520917,H02A,4939
1520920,H02A,6940
1520921,H02A,7260
1520922,H02A,36320
1520926,H02A,3709
1520927,H02A,2550
1520932,H02A,7823
1520933,H02A,3485
1520934,H02A,72632
1520937,H02A,27542
1520938,H02A,28731
1520940,H02A,3643
1520942,H02A,7014
1520943,H02A,208
1520944,H02A,6970
1520946,H02A,5183
1520948,H02A,2021
1520950,H02A,36011
1520951,H02A,37730
1520952,H02A,6944
1520954,H02A,7104
1520955,H02A,6960
1520956,H02A,6962
1520957,H02A,5551
1520958,H02A,7140
1520960,H02A,135
1520961,H02A,4770
1520962,H02A,2875
1520964,H02A,69515
1520965,H02A,72783
1520966,H02A,7100
1520967,H02A,4465
1520968,H02A,99980
1520969,H02A,124
1520970,H02A,010
1520971,H02A,01300
1520972,H02A,5569
1520974,H02A,283
1520977,H02A,2451
1520978,H02A,7103
1520979,H02A,0532
1520980,C07A,413
1520981,C07A,42731
1520983,C07A,99791
1520984,N05C,78052
1520987,S01E,36504
1520990,C09C,2504
1520991,C09C,428
1520992,C09C,99791
1520995,R06A,4770
1520996,C02A,99791
1520998,A03A,5641
1521001,L01D,1830
1521005,D01A,69011
1521006,D01A,1110
1521007,D01A,7063
1521008,R06A,4770
1521012,B01A,4140
1521016,J01M,5990
1521018,N05C,78052
1521019,D10A,6953
1521020,D10A,2021
1521022,D10A,2022
1521023,R03C,4939
1521026,R03C,49381
1521028,R06A,3860
1521029,R06A,9946
1521032,D11A,427
1521035,D11A,533
1521040,L01B,2050
1521041,L01B,2000
1521043,C01C,427
1521044,C01C,78550
1521045,N06D,33182
1521046,M01A,7159
1521047,M01A,7140
1521049,L01X,7020
1521051,L04A,5551
1521052,L04A,340
1521053,L04A,28731
1521057,L04A,7140
1521059,B05C,5722
1521060,B05C,0092
1521062,M01C,7140
1521063,N02B,7803
1521067,L01D,2050
1521069,L01D,1519
1521071,L01D,2010
1521073,L01D,2030
1521074,L01D,2021
1521076,L01D,1830
1521077,L01D,2022
1521080,L01D,2733
1521082,N02C,346
1521083,N02C,3460
1521084,N02C,3461
1521088,C03A,428
1521089,C03A,2535
1521090,C03A,7823
1521091,C03A,99791
1521093,C03A,581
1521094,C03A,6254
1521099,R03C,49381
1521100,R03C,2767
1521101,R01A,4939
1521102,R01A,37213
1521103,R01A,49381
1521104,R01A,37040
1521106,R01A,4770
1521108,S01A,0785
1521110,S01A,0532
1521111,L01X,23871
1521116,L01X,2384
1521117,L01X,28260
1521122,G01A,1121
1521123,L01A,23871
1521124,L01A,2384
1521125,L01A,2051
1521126,M02A,7200
1521127,M02A,346
1521128,M02A,7159
1521129,M02A,338
1521130,M02A,6253
1521131,M02A,7140
1521132,V04C,3580
1521135,H05B,27542
1521136,J01E,023
1521137,J01E,0049
1521143,J01A,0880
1521144,J01A,023
1521146,J01A,0990
1521147,J01A,0010
1521148,J01A,0770
1521149,J01A,0992
1521150,J01A,0991
1521153,J01A,020
1521154,J01A,073
1521155,J01A,0830
1521156,J01A,087
1521158,J01A,0839
1521161,J01A,076
1521162,J01A,0219
1521163,J01A,0811
1521164,C02A,31401
1521165,C02A,30723
1521166,C02A,99791
1521167,C02A,346
1521168,N07A,59654
1521169,C01D,413
1521171,B02B,7760
1521172,C08C,99791
1521173,H02C,1160
1521174,H02C,1125
1521175,H02C,1172
1521177,H02C,114
1521178,H02C,69011
1521179,H02C,2550
1521180,H02C,115
1521181,H02C,1161
1521182,H02C,7063
1521183,C09C,2504
1521184,C09C,99791
1521186,L01C,2050
1521188,M04A,27400
1521194,L01B,5551
1521195,L01B,57142
1521196,L01B,5569
1521197,C01B,4270
1521199,G04B,59651
1521200,N04B,31401
1521202,N04B,3320
1521205,L04A,2030
1521206,L04A,5282
1521207,L04A,2733
1521208,L01A,27730
1521209,L01A,2030
1521211,N06D,3310
1521214,J04A,018
1521216,A06A,56400
1521218,C05A,7099
1521221,J05A,042
1521222,C04A,317
1521223,G02C,7200
1521224,G02C,2770
1521225,G02C,78060
1521226,G02C,531
1521227,G02C,27400
1521228,G02C,7840
1521230,G02C,6253
1521231,G02C,346
1521232,G02C,7159
1521233,G02C,3381
1521234,G02C,7470
1521236,G02C,7140
1521237,J01C,0399
1521238,J01C,390
1521239,J01C,0229
1521241,J01C,04041
1521243,J01C,510
1521245,J01C,101
1521246,J01C,0400
1521247,J01C,098
1521248,J01C,026
1521249,J01C,0270
1521250,J01C,3229
1521251,J01C,0360
1521252,J01C,0272
1521255,J01C,0979
1521256,J01C,037
1521257,S01E,37800
1521259,S01E,36513
1521260,P02B,1239
1521261,P02B,1231
1521262,P02B,1213
1521263,P02B,1214
1521264,P02B,1209
1521265,J01M,5959
1521266,J01M,0092
1521268,J01M,59080
1521269,J01C,3829
1521273,J01C,5990
1521274,G04B,59651
1521277,C01C,4275
1521279,C01C,428
1521281,C01C,78551
1521282,C01C,78552
1521283,C01C,7802
1521285,N05C,78052
1521289,N03A,7803
1521291,N03A,30723
1521294,N03A,32742
1521295,N03A,33394
1521298,N03A,29680
1521301,R06A,7862
1521302,R06A,7083
1521303,R06A,9946
1521305,R06A,4770
1521307,R06A,99980
1521309,J05A,042
1521311,D04A,477
1521315,D04A,78052
1521316,D04A,9946
1521319,D04A,4770
1521321,D04A,7089
1521322,D04A,7083
1521323,C10A,413
1521335,A06A,5641
1521336,N03A,3456
1521337,N03A,7803
1521338,N03A,3452
1521339,A07D,78791
1521340,J01G,7907
1521342,J01G,0990
1521344,J01G,487
1521345,J01G,0992
1521346,J01G,3860
1521348,J01G,020
1521350,J01G,010
1521351,J01G,0219
1521352,J01G,5990
1521353,A08A,27800
1521356,S01E,36504
1521357,S01E,36513
1521359,C05A,455
1521361,C05A,30275
1521362,C05A,7841
1521363,C05A,69271
1521364,C05A,5207
1521366,C05A,6982
1521367,P01B,084
1521368,P01B,0841
1521370,D01A,1110
1521371,D01A,1104
1521372,M02A,5951
1521373,C10A,440
1521379,L04A,7140
1521380,C10A,440
1521388,D01A,1125
1521389,D01A,110
1521391,D01A,1129
1521394,L01B,150
1521395,L01B,1519
1521397,N06A,30751
1521400,N06A,3003
1521402,N06A,30981
1521405,S01G,477
1521406,B01A,286
1521407,B01A,2866
1521408,B01A,5951
1521411,B01A,4539
1521413,B01A,4111
1521416,A01A,6910
1521418,A01A,1110
1521419,A01A,1104
1521420,A01A,1121
1521425,S01A,098
1521426,S01A,684
1521427,S01A,08881
1521429,S01A,3229
1521431,S01A,5990
1521433,R06A,477
1521435,R06A,7862
1521436,R06A,4770
1521438,C08C,5300
1521440,C08C,99791
1521444,C08C,4430
1521446,C08C,4131
1521447,P01A,0840
1521449,P01A,1300
1521450,C01B,42731
1521452,C01B,42741
1521456,G04C,6000
1521458,G01A,1110
1521459,G01A,1104
1521461,A02B,532
1521462,A02B,531
1521463,A02B,53081
1521464,A02B,7871
1521466,D07A,7099
1521467,P01B,0840
1521469,C07A,42731
1521471,C07A,99791
1521472,C07A,428
1521473,J01M,020
1521478,J01D,5990
1521480,J02A,1173
1521482,J02A,110
1521483,J02A,5679
1521485,J02A,1129
1521486,D04A,79921
1521487,D04A,29680
1521490,D04A,78052
1521498,S01E,36504
1521500,R06A,477
1521505,J01C,73020
1521507,G04B,5959
1521508,G04B,6019
1521510,G04B,5990
1521514,J01D,5990
1521515,N06A,3071
1521516,N06A,30751
1521518,N06A,2506
1521519,N06A,78052
1521520,N06A,5641
1521521,N06A,3382
1521527,J01M,098
1521529,N06A,31401
1521530,N06A,27800
1521536,G04C,6000
1521537,G04C,99791
1521539,A12A,2767
1521540,A12A,27541
1521541,A12A,7817
1521542,S02A,3829
1521547,S02A,37230
1521549,S02A,0309
1521552,S02A,6019
1521554,S02A,0092
1521555,S02A,3700
1521557,J02A,1173
1521558,J02A,1160
1521559,J02A,1172
1521560,J02A,1119
1521561,J02A,115
1521562,J02A,110
1521564,J02A,1161
1521566,J02A,114
1521567,J02A,1171
1521568,J02A,1121
1521569,L01X,2000
1521573,J01G,04149
1521575,N03A,79921
1521576,N03A,78031
1521578,N03A,78052
1521579,N03A,7803
1521583,N06A,3003
1521584,R06A,346
1521585,R06A,9946
1521586,L01D,2050
1521587,D06B,07811
1521588,L01A,188
1521592,L01A,2010
1521593,L01A,157
1521594,L01A,2000
1521595,L01A,1830
1521600,C01B,42731
1521603,A06A,3055
1521606,A06A,78552
1521612,N04B,3320
1521614,D01A,1110
1521615,D01A,1104
1521617,D10A,08882
1521620,D10A,0840
1521622,D10A,1309
1521624,N02A,79921
1521626,C07A,99791
1521628,S01E,36504
1521629,C01B,42731
1521630,C01B,4270
1521631,C09A,2551
1521633,C09A,428
1521634,C09A,2504
1521635,C09A,99791
1521637,C09A,4430
1521638,N05C,78052
1521640,N04B,3320
1521643,N04B,33392
1521644,J04A,010
1521646,N03A,3459
1521647,N03A,7803
1521648,C07A,413
1521649,C07A,42731
1521650,C07A,5307
1521651,C07A,99791
1521652,C07A,346
1521653,C07A,242
1521656,L01D,2050
1521657,L01D,2010
1521658,L01D,2000
1521661,L01A,2396
1521662,S01E,36504
1521663,S01E,36513
1521666,J01F,0880
1521669,J01F,08881
1521670,J01F,0319
1521671,J01F,3829
1521672,J01F,0330
1521675,J01D,7907
1521678,J01D,0990
1521680,J01D,09840
1521685,J01D,3209
1521687,J01D,0020
1521688,J01D,7110
1521689,J01D,0049
1521691,J01D,0979
1521692,J01D,0402
1521693,S01E,36504
1521694,S01E,36513
1521695,N05C,78052
1521696,G04C,7040
1521697,G04C,6000
1521698,G04C,7041
1521703,A07A,0052
1521704,A07A,5722
1521705,A07A,5641
1521706,A07A,0092
1521707,A07E,477
1521709,A07E,4939
1521712,A07E,471
1521713,A07E,5569
1521715,R03D,490
1521716,R03D,4939
1521717,R03D,491
1521721,N05A,30981
1521722,N05A,2989
1521723,N05A,295
1521724,N05A,29680
1521728,L01C,150
1521730,L01C,1769
1521732,L01C,1519
1521733,L01C,1830
1521734,J05A,042
1521736,A03F,53081
1521737,A03F,5363
1521738,A03F,7868
1521739,A03F,346
1521742,A01A,6953
1521743,A01A,27400
1521744,A01A,3829
1521747,A01A,70401
1521748,A01A,7200
1521750,A01A,4939
1521753,A01A,6940
1521754,A01A,7260
1521755,A01A,36320
1521759,A01A,3709
1521760,A01A,2550
1521766,A01A,3485
1521767,A01A,72632
1521770,A01A,27542
1521771,A01A,28731
1521773,A01A,3643
1521775,A01A,7014
1521776,A01A,208
1521777,A01A,6970
1521779,A01A,5183
1521781,A01A,2030
1521782,A01A,2021
1521784,A01A,36011
1521785,A01A,37730
1521786,A01A,6944
1521788,A01A,5551
1521789,A01A,7140
1521791,A01A,135
1521792,A01A,4770
1521793,A01A,2875
1521795,A01A,69515
1521796,A01A,72783
1521797,A01A,7100
1521798,A01A,124
1521799,A01A,010
1521800,A01A,01300
1521801,A01A,5569
1521803,A01A,283
1521806,A01A,2451
1521807,A01A,0532
1521808,N04B,3320
1521811,N04B,33394
1521813,N05A,79922
1521815,N05A,2989
1521817,N05A,295
1521818,N05A,30723
1521819,N05A,29680
1521822,C10A,2721
1521825,N06A,3003
1521827,R06A,7862
1521830,L01C,150
1521835,A07E,5569
1521836,G02A,4590
1521837,G02A,4131
1521839,L01E,2051
1521840,N06B,31401
1521843,L04A,3580
1521844,L04A,3410
1521846,D07A,7099
1521849,L01B,2050
1521850,L01B,23875
1521853,J02A,114
1521854,J02A,110
1521857,J02A,1173
1521858,J02A,1129
1521859,J05A,042
1521861,D06B,07811
1521863,N05A,2989
1521864,N05A,295
1521868,S01L,3620
1521870,S01L,36250
1521874,C02D,428
1521883,H01B,666
1521885,H01A,27400
1521886,H01A,390
1521888,H01A,7200
1521889,H01A,3510
1521891,H01A,37230
1521892,H01A,3709
1521894,H01A,7103
1521896,H01A,7100
1521897,H01A,581
1521898,H01A,36011
1521899,H01A,37730
1521901,H01A,6944
1521902,H01A,4460
1521903,H01A,6960
1521904,H01A,7140
1521905,H01A,7010
1521907,H01A,5569
1521910,H01A,7200
1521911,H01A,36320
1521913,H01A,3709
1521914,H01A,69510
1521915,H01A,27400
1521916,H01A,3456
1521917,H01A,3643
1521919,H01A,581
1521920,H01A,37730
1521921,H01A,7104
1521922,H01A,6960
1521923,H01A,7140
1521926,H01A,69515
1521927,H01A,7100
1521936,A10A,250
1521937,A10A,2501
1521941,A10A,250
1521943,J05A,042
1521944,N03A,7803
1521945,N03A,3452
1521946,N06A,79921
1521948,N06A,8625
1521950,N06A,78052
1521951,N06A,3003
1521954,N06A,3008
1521956,C03A,7823
1521957,C03A,99791
1521959,J01D,5990
1521965,J01D,6019
1521968,J01D,5990
1521969,J01D,098
1521971,J01D,6149
1521973,J01D,0389
1521977,J01D,5990
1521980,J01D,487
1521982,J01D,5130
1521983,J01D,6149
1521985,J01D,5679
1521988,C09A,428
1521989,C09A,99791
1521990,V03A,2767
1521999,R01A,4939
1522001,R01A,3580
1522002,R01A,3470
1522003,N04B,3320
1522007,A02A,7871
1522062,B05C,7871
1522063,B05C,2767
1522064,B05C,2762
1522066,B05C,78900
1522069,C10A,2721
1522072,M04A,1361
1522073,M04A,27731
1522074,M04A,274
1522077,G03A,6266
1522079,G03A,6179
1522080,G03A,7041
1522082,G03A,6253
1522088,S01E,3580
1522096,N05A,30012
1522097,N05A,79921
1522098,N05A,29680
1522101,N05A,3536
1522103,N05A,295
1522104,N05A,3310
1522105,N05A,3501
1522106,G03X,2830
1522107,G03X,6179
1522108,G03X,6101
1522112,R01A,4939
1522114,R01A,4770
1522118,J01D,3209
1522120,J01D,59080
1522125,J01D,098
1522126,J01D,3829
1522131,B01A,435
1522133,A07A,5722
1522135,C10A,440
1522139,A11C,27541
1522140,N05C,30781
1522142,A07D,78791
1522143,N05B,79921
1522146,A07B,6910
1522147,N06B,31401
1522148,N06B,3470
1522149,N06B,31401
1522150,N06B,3470
1522151,A05A,5716
1522153,N05C,78052
1522154,G04B,59651
1522165,N05C,78052
1522166,N05C,7803
1522180,M01A,7159
1522181,M01A,7140
1522186,J01C,6149
1522187,J01C,5679
1522190,J01C,99731
1522191,J01C,59080
1522194,N05A,2989
1522196,J05A,0785
1522199,P01B,084
1522201,P01B,0830
1522202,P01B,7140
1522203,P01B,7102
1522204,P01B,7100
1522205,N05A,295
1522206,R06A,487
1522208,R06A,460
1522209,N05A,295
1522212,N05A,295
1522214,N05A,295
1522216,A06A,56400
1522218,C01E,7149
1522219,C01E,7245
1522220,C01E,9249
1522223,C01E,69271
1522224,C01E,460
1522225,C01E,940
1522230,V06D,2512
1522234,A05A,27786
1522245,D08A,7841
1522258,V06D,78900
1522260,A09A,7840
1522261,A09A,7871
1522262,A09A,5920
1522266,L01A,51181
1522272,D08A,7099
1522277,D08A,1129
1522280,D08A,6980
1522282,D08A,68600
1522284,D08A,1104
1522285,J05A,042
1522286,R05D,7862
1522288,A03A,533
1522289,N07X,30723
1522290,N07X,33382
1522291,N07X,3334
1522293,N07X,392
1522295,C01B,42731
1522296,C07A,99791
1522300,A08A,27800
1522305,C01D,428
1522306,G02C,30271
1522310,C08C,99791
1522311,P03A,1330
1522316,N05A,295
1522317,D06B,7020
1522322,N04B,3320
1522326,B02B,28731
1522327,A02B,7871
1522329,D08A,940
1522331,N03A,7803
1522333,L04A,6960
1522334,L04A,6960
1522335,H05A,27541
1522336,A05A,5716
1522338,N05A,295
1522339,N05A,29680
1522341,N05A,295
1522342,N03A,7803
1522344,N02C,346
1522351,N02A,2506
1522354,G04C,6000
1522356,B02B,2875
1522360,J01D,59080
1522361,C03X,75313
1522363,N05A,295
1522364,N05A,29680
1522365,C01B,42731
1522366,N03A,7803
1522367,N03A,3452
1522375,N07B,303
1522377,L04A,4465
1522381,R06A,4770
1522382,H05A,73300
1522393,J01X,99731
1522397,A14A,23876
1522399,N06B,3470
1522400,N06B,32731
1522404,A06A,56400
1522407,L01E,2050
1522408,L01E,2026
1522414,P01B,0841
1522417,N07X,340
1522420,M05B,E887
1522424,L01F,2041
1522425,N04B,3320
1522426,A10B,27800
1522430,L04A,6960
1522433,D04A,477
1522435,D04A,4770
1522437,D04A,460
1522442,N07C,3860
1522445,N06B,31401
1522446,G04B,59651
1522450,V08C,44401
1522451,V04C,4939
1522457,L02A,6179
1522460,A02A,7871
1522463,A02A,7871
1522470,G04B,2763
1522471,L01A,2041
1522472,L01A,2733
1522477,M02A,7149
1522478,M02A,7245
1522479,M02A,9249
1522480,M02A,72982
1522485,B01A,286
1522491,V03A,9851
1522492,V03A,9849
1522493,D07A,7099
1522502,S01G,37213
1522504,J01X,5990
1522507,S01B,338
1522508,C05B,45981
1522514,J05A,042
1522516,D01A,1110
1522517,D01A,1104
1522518,B01A,286
1522522,S01E,36504
1522523,S01E,36513
1522526,D09A,52100
1522529,B01A,286
1522532,B01A,4111
1522536,N05A,295
1522538,S01E,36504
1522539,R07A,2770
1522540,C09C,99791
1522546,J05A,042
1522547,H01A,2726
1522552,L01E,23876
1522553,L04A,340
1522555,N03A,7803
1522556,V08C,5739
1522558,S01L,3620
1522559,S01L,36250
1522561,L01X,2733
1522562,A06A,5641
1522563,A06A,56400
1522564,G04B,59651
1522573,L04A,6960
1522576,R03B,4939
1522580,R03B,4770
1522582,A10B,5856
1522584,L04A,340
1522585,A16A,2706
1522588,J05A,042
1522591,D01A,1104
1522593,R06A,477
1522595,R06A,9946
1522596,R06A,4770
1522597,R06A,460
1522600,A02A,53081
1522601,A02A,578
1522602,A02A,7871
1522603,A02A,2520
1522604,A02A,5920
1522605,A02A,533
1522606,A06A,56400
1522607,C09X,99791
1522609,L04A,7200
1522610,L04A,6960
1522612,P01C,0851
1522613,P01C,0855
1522614,P01C,0069
1522615,P01C,0850
1522617,N05C,78052
1522618,L01F,2010
1522636,L01E,2041
1522637,L01E,2004
1522638,L01E,2733
1522643,N03A,340
1522644,V03A,042
1522647,N05C,32731
1522659,L01E,51631
1522665,M01A,5301
1522666,A03A,5641
1522667,A03A,5641
1522668,A03A,5769
1522672,J05A,042
1522675,G04B,56400
1522676,G04B,7871
1522677,G04B,78900
1522678,B05A,27652
1522679,B03X,2859
1522686,L03A,340
1522688,G03D,338
1522691,A12B,5920
1522693,G03G,75251
1522695,N05A,295
1522702,V09B,75651
1522703,V03A,2859
1522704,V03A,79902
1522705,V03A,199
1522706,V03A,346
1522709,V03A,5199
1522710,V03A,78057
1522714,V09A,3310
1522716,V09A,3310
1522717,V09A,3310
1522719,V03A,7020
1522720,V03A,0781
1522721,B05C,37120
1522722,B05C,27651
1522724,B05C,7871
1522725,V09G,4140
1522728,V09D,57510
1522729,V09B,578
1522732,C08C,99791
1522733,V03A,2897
1522736,B05A,78550
1522743,C01E,346
1522744,A07D,5641
1522746,M01C,7141
1522747,M01C,6960
1522748,M01C,7140
1522754,A06A,56400
1522761,J05A,042
1522762,M01A,7149
1522763,M01A,7245
1522764,M01A,840
1522769,C10A,4111
1522771,C10A,440
1522773,B02B,4590
1522774,L04A,27950
1522775,L04A,23875
1522776,V09F,5937
1522777,J01C,0229
1522781,J01C,035
1522783,J01C,101
1522785,J01C,1039
1522787,J01C,026
1522789,J01C,0341
1522790,J01C,0919
1522792,J01C,1029
1522798,J01C,E9283
1522806,A12C,52100
1522808,V09G,4140
1522812,L01F,2030
1522813,V03A,79902
1522814,V06D,2512
1522815,D04A,7099
1522816,D04A,455
1522831,B05X,2762
1522832,B05X,27651
1522833,B05X,78791
1522834,B05X,9779
1522837,B05X,940
1522841,A06A,56400
1522849,A06A,7871
1522850,A06A,5920
1522851,A06A,78900
1522852,A01A,52100
1522853,R06A,4770
1522854,D02B,69271
1522857,V09I,4140
1522859,V09I,199
1522860,V09I,7803
1522883,A10A,250
1522886,L01X,2030
1522893,J07B,052
1522894,J07B,053
1522897,J07A,0330
1522898,J07A,037
1522900,J07B,060
1522907,D08A,7021
1522908,A01A,52100
1522909,A12A,27541
1522911,A12C,346
1522914,A12A,27541
1522918,A06A,56400
1522926,P03B,69271
1522931,B02B,4590
1522932,B02B,4329
1522943,L01X,2041
1522944,N06B,27800
1522952,J06B,28731
1522955,J06B,037
1522956,B02B,4590
1522963,R06A,477
1522964,R06A,7089
1522970,N04B,3320
1522971,N07X,3583
1522973,N07X,3470
1522974,N07X,4259
1522976,G02C,30271
1522977,S01E,37731
1522979,L01E,2041
1522980,L01E,2004
1522983,N04C,3320
1522985,A06A,5641
1522992,C01C,458
1522995,M05B,73300
1522998,C10A,440
1523000,N05C,78052
1523001,L01X,2050
1523005,B02B,2875
1523007,B02B,28731
1523008,J05A,0501
1523009,J05A,0785
1523010,N07X,3334
1523012,N07X,33520
1523013,P02B,1213
1523014,G04B,78830
1523015,B03X,2859
1523024,L01E,23876
1523025,C05A,53081
1523029,J01G,59080
1523035,D06A,684
1523036,A06A,56400
1523038,B02B,28731
1523041,J06B,0052
1523042,V09I,185
1523044,J05A,0462
1523048,M09A,3351
1523049,A06A,56400
1523052,L03A,28800
1523057,B03A,280
1523058,G01A,0069
1523059,R02A,7841
1523063,M02A,7089
1523069,M02A,7063
1523070,M02A,69271
1523072,M02A,70581
1523073,M02A,940
1523077,A02A,7871
1523078,A02A,78900
1523081,A05B,6254
1523111,S01E,37731
1523128,N02B,7862
1523129,N02B,78060
1523130,N02B,7840
1523131,N02B,7841
1523149,N02C,346
1523150,N02C,346
1523151,N02C,346
1523152,N02C,33902
1523153,N02C,346
1523155,V03A,2767
1523160,B03A,280
1523161,B03A,280
1523162,B05X,2768
1523178,V03A,280
1523216,L01F,2030
1523218,J01D,59080
1523220,B06A,28260
1523222,L01E,2004
1523225,N02C,3460
1523226,N02C,3461
1523229,V09I,209
1523230,M09A,3351
